_id,kase,diss_matches,diss_match,case_name,docket_number,decision_date,case_citation,dissent_citation,part_of_opinion,judge,judge_cited,blurb,full_opinion,case_disposition,precedent_alteration
5d0955bc1ed0f7d32187951a,2528610,8,2736,Schriro v. Summerlin,No. 03-526,2004-06-24,542 U.S. 348,468 U.S. 447,dissent,BREYER,STEVENS,"As I explained in my separate concurrence in Ring, I believe the Eighth Amendment demands the use of a jury in capital sentencing because a death sentence must reflect a community-based judgment that the sentence constitutes proper retribution. See 536 U. S., at 614 (opinion concurring in judgment); see also Harris v. Alabama, 513 U. S. 504, 515-526 (1995) (Stevens, J., dissenting); Spaziano v. Florida, 468 U. S. 447, 467-490 (1984) (Stevens, J., concurring in part and dissenting in part). And a jury is significantly more likely than a judge to “express the conscience of the community on the ultimate question of life or death.” Witherspoon v. Illinois, 391 U. S. 510, 519 (1968). As Justice Stevens has pointed out:",https://api.case.law/v1/cases/2528610/?full_case=true&format=html,reversed and remanded,no determinable alteration of precedent
5d0955bc1ed0f7d32187951b,2528610,8,6830,Schriro v. Summerlin,No. 03-526,2004-06-24,542 U.S. 348,401 U.S. 667,dissent,BREYER,HARLAN,"Second, Teague’s basic purpose strongly favors retroactive application of Ring’s rule. Teague’s retroactivity principles, reflect the Court’s effort to balance competing considerations. See 489 U. S., at 309-313; Mackey v. United States, 401 U. S. 667, 675 (1971) (Harlan, J., concurring in two judgments and dissenting in one); Desist v. United States, 394 U. S. 244, 256 (1969) (Harlan, J., dissenting). On the one hand, interests related to certain of the Great Writ’s basic objectives — protecting the innocent against erroneous conviction or punishment and assuring fundamentally fair procedures — favor applying a new procedural rule retroactively. Teague, supra, at 312-313; Mackey, 401 U. S., at 693-694. So too does the legal system’s commitment to “equal justice” — i. e., to “assuring] a uniformity of ultimate treatment among prisoners.” Id., at 689.",https://api.case.law/v1/cases/2528610/?full_case=true&format=html,reversed and remanded,no determinable alteration of precedent
5d0955bc1ed0f7d32187951c,2528610,8,6914,Schriro v. Summerlin,No. 03-526,2004-06-24,542 U.S. 348,394 U.S. 244,dissent,BREYER,HARLAN,"Second, Teague’s basic purpose strongly favors retroactive application of Ring’s rule. Teague’s retroactivity principles, reflect the Court’s effort to balance competing considerations. See 489 U. S., at 309-313; Mackey v. United States, 401 U. S. 667, 675 (1971) (Harlan, J., concurring in two judgments and dissenting in one); Desist v. United States, 394 U. S. 244, 256 (1969) (Harlan, J., dissenting). On the one hand, interests related to certain of the Great Writ’s basic objectives — protecting the innocent against erroneous conviction or punishment and assuring fundamentally fair procedures — favor applying a new procedural rule retroactively. Teague, supra, at 312-313; Mackey, 401 U. S., at 693-694. So too does the legal system’s commitment to “equal justice” — i. e., to “assuring] a uniformity of ultimate treatment among prisoners.” Id., at 689.",https://api.case.law/v1/cases/2528610/?full_case=true&format=html,reversed and remanded,no determinable alteration of precedent
5d0955bc1ed0f7d32187951d,2529075,3,7636,Cox v. Larios,No. 03-1413,2004-06-30,542 U.S. 947,364 U.S. 339,concurrence,STEVENS,STEVENS,"Drawing district lines that have no neutral justification in order to place two incumbents of the opposite party in the same district is probative of the same impermissible intent as the “uncouth twenty-eight-sided figure” that defined the boundary of Tuskegee, Alabama, in Gomillion v. Lightfoot, 364 U. S. 339, 340 (1960), or the “dragon descending on Philadelphia from the west” that defined Pennsylvania’s District 6 in Vieth, 541 U. S., at 340 (Stevens, J., dissenting) (internal quotation marks omitted). The record in this case, like the allegations in Gomillion and in Vieth, reinforce my conclusion that “the unavailability of judicially manageable standards” cannot justify a refusal “to condemn even the most blatant violations of a state legislature’s fundamental duty to govern impartially.” Vieth, 541 U. S., at 341. I remain convinced that in time the present “failure of judicial will,” ibid., will be replaced by stern condemnation of partisan gerrymandering that does not even pretend to be justified by neutral principles.",https://api.case.law/v1/cases/2529075/?full_case=true&format=html,,
5d0955bc1ed0f7d32187951e,2529075,3,2627,Cox v. Larios,No. 03-1413,2004-06-30,542 U.S. 947,541 U.S. 267,dissent,SCALIA,BREYER,"The problem with this analysis is that it assumes “politics as usual” is not itself a “traditional” redistricting criterion. In the recent decision in Vieth v. Jubelirer, 541 U. S. 267 (2004), all but one of the Justices agreed that it is a traditional criterion, and a constitutional one, so long as it does not go too far. See id., at 285-286 (plurality opinion); id., at 307 (Kennedy, J., concurring in judgment); id., at 344 (Souter, J., dissenting); id., at 355 (Breyer, J., dissenting). It is not obvious to me that a legislature goes too far when it stays within the 10% disparity in population our cases allow. To say that it does is to invite allegations of political motivation whenever there is population disparity, and thus to destroy the 10% safe harbor our cases provide. Ferreting out political motives in minute population deviations seems to me more likely to encourage politically motivated litigation than to vindicate political rights.",https://api.case.law/v1/cases/2529075/?full_case=true&format=html,,
5d0955bc1ed0f7d32187951f,2529075,3,2665,Cox v. Larios,No. 03-1413,2004-06-30,542 U.S. 947,541 U.S. 267,dissent,SCALIA,BREYER,"The problem with this analysis is that it assumes “politics as usual” is not itself a “traditional” redistricting criterion. In the recent decision in Vieth v. Jubelirer, 541 U. S. 267 (2004), all but one of the Justices agreed that it is a traditional criterion, and a constitutional one, so long as it does not go too far. See id., at 285-286 (plurality opinion); id., at 307 (Kennedy, J., concurring in judgment); id., at 344 (Souter, J., dissenting); id., at 355 (Breyer, J., dissenting). It is not obvious to me that a legislature goes too far when it stays within the 10% disparity in population our cases allow. To say that it does is to invite allegations of political motivation whenever there is population disparity, and thus to destroy the 10% safe harbor our cases provide. Ferreting out political motives in minute population deviations seems to me more likely to encourage politically motivated litigation than to vindicate political rights.",https://api.case.law/v1/cases/2529075/?full_case=true&format=html,,
5d0955bc1ed0f7d321879520,3275413,1,3853,Brigham City v. Stuart,No. 05-502,2006-05-22,547 U.S. 398,463 U.S. 1032,concurrence,STEVENS,STEVENS,"Whether or not that forecast is accurate, I can see no reason for this Court to cause the Utah courts to redecide the question as a matter of state law. Federal interests are not offended when a single State elects to provide greater protection for its citizens than the Federal Constitution requires. Indeed, I continue to believe “that a policy of judicial restraint — one that allows other decisional bodies to have the last word in legal interpretation until it is truly necessary for this Court to intervene — enables this Court to make its most effective contribution to our federal system of government.” Michigan v. Long, 463 U. S. 1032, 1067 (1983) (Stevens, J., dissenting). Thus, while I join the Court’s opinion, I remain persuaded that my vote to deny the State’s petition for certiorari was correct.",https://api.case.law/v1/cases/3275413/?full_case=true&format=html,reversed and remanded,no determinable alteration of precedent
5d0955bc1ed0f7d321879521,3275676,2,5104,S. D. Warren Co. v. Maine Board of Environmental Protection,No. 04-1527,2006-05-15,547 U.S. 370,373 U.S. 546,majority,SOUTER,HARLAN,"When it applies to water, “discharge” commonly means a “flowing or issuing out,” Webster’s New International Dictionary 742 (2d ed. 1954); see also ibid. (“[t]o emit; to give outlet to; to pour forth; as, the Hudson discharges its waters into the bay”), and this ordinary sense has consistently been the meaning intended when this Court has used the term in prior water cases. See, e. g., Marsh v. Oregon Natural Resources Council, 490 U. S. 360, 364 (1989) (describing a dam’s “'multiport’ structure, which will permit discharge of water from any of five levels”); Arizona v. California, 373 U. S. 546, 619, n. 25 (1963) (Harlan, J., dissenting in part) (quoting congressional testimony regarding those who “ 'take . .. water out of the stream which has been discharged from the reservoir’ ”); United States v. Arizona, 295 U. S. 174, 181 (1935) (“Parker Dam will intercept waters discharged at Boulder Dam”).",https://api.case.law/v1/cases/3275676/?full_case=true&format=html,affirmed (includes modified),no determinable alteration of precedent
5d0955bc1ed0f7d321879522,3275572,8,11777,Anza v. Ideal Steel Supply Corp.,No. 04-433,2006-06-05,547 U.S. 451,473 U.S. 479,concurring-in-part-and-dissenting-in-part,BREYER,MARSHALL,"Fourth, this approach to proximate cause would retain private actions aimed at the heart of Congress’ relevant RICO concerns. RICO’s sponsors, in reporting their underlying reasons for supporting RICO, emphasized, not the fair, ordinary competition that an infiltrated business might offer its competitors, but the risk that such a business would act corruptly, exercising unfair methods of competition. S. Rep. No. 91-617, pp. 76-78 (1969); see also Cedric Kushner Promotions, Ltd. v. King, 533 U. S. 158, 165 (2001). RICO focuses upon the “infiltration of legitimate business by organized crime,” in significant part because, when “ ‘organized crime moves into a business, it brings all the techniques of violence and intimidation which it used in its illegal businesses.’ ” Sedima, S. P. R. L. v. Imrex Co., 473 U. S. 479, 517, 515 (1985) (Marshall, J., dissenting) (quoting 113 Cong. Rec. 17999 (1967)).",https://api.case.law/v1/cases/3275572/?full_case=true&format=html,reversed and remanded,no determinable alteration of precedent
5d0955bc1ed0f7d321879523,3275706,4,7381,Day v. McDonough,No. 04-1324,2006-04-25,547 U.S. 198,510 U.S. 1185,dissent,SCALIA,SCALIA,"There is, therefore, no support for the notion that the traditional equitable discretion that governed habeas proceedings permitted the dismissal of habeas petitions on the sole ground of untimeliness. Whether or not it should have, see Collins v. Byrd, 510 U. S. 1185, 1186-1187 (1994) (SCALIA, J., dissenting), it did not. The Court’s reliance on pre-existing equitable doctrines like procedural default and nonretroactivity is, therefore, utterly misplaced. Nothing in our tradition of refusing to dismiss habeas petitions as untimely justifies the Court’s decision to beef up the presumptively forfeitable “limitations period” of § 2244(d) by making it the subject of sua sponte dismissal.",https://api.case.law/v1/cases/3275706/?full_case=true&format=html,affirmed (includes modified),no determinable alteration of precedent
5d0955bc1ed0f7d321879524,3275749,4,10102,Samson v. California,No. 04-9728,2006-06-19,547 U.S. 843,489 U.S. 656,dissent,STEVENS,SCALIA,"); see also Treasury Employees v. Von Raab, 489 U. S. 656, 680 (1989) (SCALIA, J., dissenting). These “institutional needs” — safety of inmates and guards, “internal order,” and sanitation, Hudson, 468 U. S., at 527-528 — manifestly do not apply to parolees. As discussed above and in Griffin, other state interests may warrant certain intrusions into a parolee’s privacy, but Hudson’s rationale cannot be mapped blindly onto the situation with which we are presented in this case.",https://api.case.law/v1/cases/3275749/?full_case=true&format=html,affirmed (includes modified),no determinable alteration of precedent
5d0955bc1ed0f7d321879525,3275749,4,17234,Samson v. California,No. 04-9728,2006-06-19,547 U.S. 843,483 U.S. 868,dissent,STEVENS,SCALIA,"2 See Morrissey v. Brewer, 408 U. S. 471, 482 (1972) (“[T]he liberty of a parolee, although indeterminate, includes many of the core values of unqualified liberty”); Griffin v. Wisconsin, 483 U. S. 868, 875 (1987) (the “degree of impingement upon [a probationer’s] privacy ... is not unlimited”); see also Ferguson, 532 U. S., at 101 (Scalia, J., dissenting) (“I doubt whether Griffin’s reasonable expectation of privacy in his home was any less than petitioners’ reasonable expectation of privacy in their urine taken”).",https://api.case.law/v1/cases/3275749/?full_case=true&format=html,affirmed (includes modified),no determinable alteration of precedent
5d0955bc1ed0f7d321879526,3275893,13,230,Youngblood v. West Virginia,No. 05-6997,2006-06-19,547 U.S. 867,516 U.S. 163,dissent,SCALIA,SCALIA,"In Lawrence v. Chater, 516 U. S. 163 (1996) (per curiam), we greatly expanded our “no-fault V & R practice” (GVR) beyond its traditional bounds. Id., at 179 (Scalia, J., dissenting). At the time, I remarked that “[t]he power to ‘revise and correct’ for error has become a power to void for suspicion” of error, id., at 190 (quoting Marbury v. Madison, 1 Cranch 137, 175 (1803); alterations omitted). And I predicted that “ ‘GVR’d for clarification of —’ ” would “become a common form of order, drastically altering the role of this Court.” 516 U. S., at 185. Today, by vacating the judgment of a state court simply because “[i]f this Court is to reach the merits of this case, it would be better to have the benefit of the views of the full Supreme Court of Appeals of West Virginia on the Brady issue,” ante, at 870, the Court brings this prediction to fulfillment.",https://api.case.law/v1/cases/3275893/?full_case=true&format=html,vacated and remanded,no determinable alteration of precedent
5d0955bc1ed0f7d321879527,3275893,13,1714,Youngblood v. West Virginia,No. 05-6997,2006-06-19,547 U.S. 867,463 U.S. 1032,dissent,SCALIA,SCALIA,"In Lawrence, I identified three narrow circumstances in which this Court could, consistent with the traditional understanding of our appellate jurisdiction (or at least consistent with entrenched practice), justify vacating a lower court’s judgment without first identifying error: “(1) where an intervening factor has arisen [e. g., new legislation or a recent judgment of this Court] that has a legal bearing upon the decision, (2) where, in a context not governed by Michigan v. Long, 463 U. S. 1032 (1983), clarification of the opinion below is needed to assure our jurisdiction, and (3) (in acknowledgment of established practice, though not necessarily in agreement with its validity) where the respondent or appellee confesses error in the judgment below.” 516 U. S., at 191-192 (dissenting opinion). Needless to say, today’s novel GVR order falls into none of these categories. There has been no intervening change in law that might bear upon the judgment. Our jurisdiction is not in doubt, see ante, at 870; State v. Frazier, 162 W. Va. 935, 942, n. 5, 253 S. E. 2d 534, 538, n. 5 (1979) (petitioner’s Brady claim was properly presented in his motion for a new trial). And the State has confessed no error — not even on the broadest and least supportable theory of what constitutes an error justifying vacatur. See, e. g., Alvarado v. United States, 497 U. S. 543, 545 (1990) (Rehnquist, C. J., dissenting) (vacating when the Solicitor General confessed error in the lower court’s “ ‘analysis,’ ” but not its judgment); Stutson v. United States, 516 U. S. 193 (1996) (per curiam) (vacating when the Solicitor General confessed error in a position taken before the Court of Appeals, on which the court might have relied; discussed in Lawrence, supra, at 184-185 (Scalia, J., dissenting)); Department of Interior v. South Dakota, 519 U. S. 919, 921 (1996) (Scalia, J., dissenting) (vacating when “the Government, having lost below, wishes to try out a new legal position”). Here, the Court vacates and remands in light of nothing.",https://api.case.law/v1/cases/3275893/?full_case=true&format=html,vacated and remanded,no determinable alteration of precedent
5d0955bc1ed0f7d321879528,3275893,13,2331,Youngblood v. West Virginia,No. 05-6997,2006-06-19,547 U.S. 867,497 U.S. 543,dissent,SCALIA,SCALIA,"In Lawrence, I identified three narrow circumstances in which this Court could, consistent with the traditional understanding of our appellate jurisdiction (or at least consistent with entrenched practice), justify vacating a lower court’s judgment without first identifying error: “(1) where an intervening factor has arisen [e. g., new legislation or a recent judgment of this Court] that has a legal bearing upon the decision, (2) where, in a context not governed by Michigan v. Long, 463 U. S. 1032 (1983), clarification of the opinion below is needed to assure our jurisdiction, and (3) (in acknowledgment of established practice, though not necessarily in agreement with its validity) where the respondent or appellee confesses error in the judgment below.” 516 U. S., at 191-192 (dissenting opinion). Needless to say, today’s novel GVR order falls into none of these categories. There has been no intervening change in law that might bear upon the judgment. Our jurisdiction is not in doubt, see ante, at 870; State v. Frazier, 162 W. Va. 935, 942, n. 5, 253 S. E. 2d 534, 538, n. 5 (1979) (petitioner’s Brady claim was properly presented in his motion for a new trial). And the State has confessed no error — not even on the broadest and least supportable theory of what constitutes an error justifying vacatur. See, e. g., Alvarado v. United States, 497 U. S. 543, 545 (1990) (Rehnquist, C. J., dissenting) (vacating when the Solicitor General confessed error in the lower court’s “ ‘analysis,’ ” but not its judgment); Stutson v. United States, 516 U. S. 193 (1996) (per curiam) (vacating when the Solicitor General confessed error in a position taken before the Court of Appeals, on which the court might have relied; discussed in Lawrence, supra, at 184-185 (Scalia, J., dissenting)); Department of Interior v. South Dakota, 519 U. S. 919, 921 (1996) (Scalia, J., dissenting) (vacating when “the Government, having lost below, wishes to try out a new legal position”). Here, the Court vacates and remands in light of nothing.",https://api.case.law/v1/cases/3275893/?full_case=true&format=html,vacated and remanded,no determinable alteration of precedent
5d0955bc1ed0f7d321879529,3275893,13,2710,Youngblood v. West Virginia,No. 05-6997,2006-06-19,547 U.S. 867,516 U.S. 193,dissent,SCALIA,SCALIA,"In Lawrence, I identified three narrow circumstances in which this Court could, consistent with the traditional understanding of our appellate jurisdiction (or at least consistent with entrenched practice), justify vacating a lower court’s judgment without first identifying error: “(1) where an intervening factor has arisen [e. g., new legislation or a recent judgment of this Court] that has a legal bearing upon the decision, (2) where, in a context not governed by Michigan v. Long, 463 U. S. 1032 (1983), clarification of the opinion below is needed to assure our jurisdiction, and (3) (in acknowledgment of established practice, though not necessarily in agreement with its validity) where the respondent or appellee confesses error in the judgment below.” 516 U. S., at 191-192 (dissenting opinion). Needless to say, today’s novel GVR order falls into none of these categories. There has been no intervening change in law that might bear upon the judgment. Our jurisdiction is not in doubt, see ante, at 870; State v. Frazier, 162 W. Va. 935, 942, n. 5, 253 S. E. 2d 534, 538, n. 5 (1979) (petitioner’s Brady claim was properly presented in his motion for a new trial). And the State has confessed no error — not even on the broadest and least supportable theory of what constitutes an error justifying vacatur. See, e. g., Alvarado v. United States, 497 U. S. 543, 545 (1990) (Rehnquist, C. J., dissenting) (vacating when the Solicitor General confessed error in the lower court’s “ ‘analysis,’ ” but not its judgment); Stutson v. United States, 516 U. S. 193 (1996) (per curiam) (vacating when the Solicitor General confessed error in a position taken before the Court of Appeals, on which the court might have relied; discussed in Lawrence, supra, at 184-185 (Scalia, J., dissenting)); Department of Interior v. South Dakota, 519 U. S. 919, 921 (1996) (Scalia, J., dissenting) (vacating when “the Government, having lost below, wishes to try out a new legal position”). Here, the Court vacates and remands in light of nothing.",https://api.case.law/v1/cases/3275893/?full_case=true&format=html,vacated and remanded,no determinable alteration of precedent
5d0955bc1ed0f7d32187952a,3275893,13,2803,Youngblood v. West Virginia,No. 05-6997,2006-06-19,547 U.S. 867,519 U.S. 919,dissent,SCALIA,SCALIA,"In Lawrence, I identified three narrow circumstances in which this Court could, consistent with the traditional understanding of our appellate jurisdiction (or at least consistent with entrenched practice), justify vacating a lower court’s judgment without first identifying error: “(1) where an intervening factor has arisen [e. g., new legislation or a recent judgment of this Court] that has a legal bearing upon the decision, (2) where, in a context not governed by Michigan v. Long, 463 U. S. 1032 (1983), clarification of the opinion below is needed to assure our jurisdiction, and (3) (in acknowledgment of established practice, though not necessarily in agreement with its validity) where the respondent or appellee confesses error in the judgment below.” 516 U. S., at 191-192 (dissenting opinion). Needless to say, today’s novel GVR order falls into none of these categories. There has been no intervening change in law that might bear upon the judgment. Our jurisdiction is not in doubt, see ante, at 870; State v. Frazier, 162 W. Va. 935, 942, n. 5, 253 S. E. 2d 534, 538, n. 5 (1979) (petitioner’s Brady claim was properly presented in his motion for a new trial). And the State has confessed no error — not even on the broadest and least supportable theory of what constitutes an error justifying vacatur. See, e. g., Alvarado v. United States, 497 U. S. 543, 545 (1990) (Rehnquist, C. J., dissenting) (vacating when the Solicitor General confessed error in the lower court’s “ ‘analysis,’ ” but not its judgment); Stutson v. United States, 516 U. S. 193 (1996) (per curiam) (vacating when the Solicitor General confessed error in a position taken before the Court of Appeals, on which the court might have relied; discussed in Lawrence, supra, at 184-185 (Scalia, J., dissenting)); Department of Interior v. South Dakota, 519 U. S. 919, 921 (1996) (Scalia, J., dissenting) (vacating when “the Government, having lost below, wishes to try out a new legal position”). Here, the Court vacates and remands in light of nothing.",https://api.case.law/v1/cases/3275893/?full_case=true&format=html,vacated and remanded,no determinable alteration of precedent
